标识检测因素,样品收集器,采样仪器,是否仪器直读,收集方式,是否需要空白,保存时间,流量*时间,定点采样流速,定点采样时间,个体采样流速,个体采样时间,备注,复合因素代码
锆及其化合物（按Zr计）,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.32,0
硒及其化合物,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.53,0
邻苯二甲酸二丁酯,微孔滤膜,粉尘采样器,False,粉尘,True,冰箱24h,5*15、个体1*120,5.0,15.0,1.0,120.0,300.13,0
碲化铋（按Bi2Te3计）,微孔滤膜,粉尘采样器,False,粉尘,True,7d,2*15、个体1*120,2.0,15.0,1.0,120.0,300.5,0
碲化铋（按Bi2Te3计）,微孔滤膜,粉尘采样器,False,粉尘,True,7d,2*15、个体1*120,2.0,15.0,1.0,120.0,300.54,0
铟及其化合物（按In计）,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.13,0
铊及其可溶性化合物(按Tl计),微孔滤膜,粉尘采样器,False,粉尘,True,15d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.25,0
锑及其化合物（按Sb计）,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.2,0
钽及其氧化物（按Ta计）,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.24,0
铊及其可溶性化合物(按Tl计),微孔滤膜,粉尘采样器,False,粉尘,True,15d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.25,0
五氧化二钒烟尘,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.29,0
铯及其化合物,微孔滤膜,粉尘采样器,False,粉尘,True,7d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.8,0
钼及其化合物,微孔滤膜,粉尘采样器,False,粉尘,True,长期,5*15、个体1*120,5.0,15.0,1.0,120.0,300.19,0
氢醌,微孔滤膜,粉尘采样器,False,粉尘,True,7d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.11,0
金属及其化合物,微孔滤膜,粉尘采样器,False,粉尘,True,7d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.33,0
稀土金属及其化合物,微孔滤膜,粉尘采样器,False,粉尘,True,7d,5*15、个体1*120,5.0,15.0,1.0,120.0,300.34,0
风速,仪器直读,风速仪,True,直读,False,,,,,,,18204.1,0
高频电磁场,仪器直读,高频场强仪,True,直读,False,,,,,,,189.2,0
三甲苯磷酸酯,细玻璃纤维滤纸,粉尘采样器,False,粉尘,True,冰箱24h,5*15、个体1*120,5.0,15.0,1.0,120.0,300.126,0
一氧化碳,仪器直读,红外气体分析仪,True,直读,False,,,,,,,300.37,0
激光辐射,仪器直读,激光功率计,True,直读,False,,,,,,,189.4,0
气压,仪器直读,空盒气压表,True,直读,False,,,,,,,18204.1,0
新风量,仪器直读,皮托管/压力计,True,直读,False,,,,,,,18204.1,0
热辐射强度,仪器直读,热辐射计,True,直读,False,,,,,,,,0
噪声,仪器直读,声级计,True,直读,False,,,,,,,189.8,0
二氧化碳,仪器直读,室内空气测试仪,True,直读,False,,,,,,,300.37,0
湿度,仪器直读,通风干湿表,True,直读,False,,,,,,,18204.1,0
微波辐射,仪器直读,微波漏能测试仪,True,直读,False,,,,,,,189.5,0
温度,仪器直读,温湿度表,True,直读,False,,,,,,,18204.1,0
照度,仪器直读,照度计,True,直读,False,,,,,,,5700,0
手传振动,仪器直读,振动仪,True,直读,False,,,,,,,189.9,0
电焊弧光,仪器直读,紫外辐照计,True,直读,False,,,,,,,189.6,0
紫外线,仪器直读,紫外辐照计,True,直读,False,,,,,,,189.6,0
